url,naslov,kraj,ime,vrsta,nadstropje,leto,velikost,cena,ponudnik,dan,mesec
/oglasi-oddaja/begunje-na-gorenjskem-poslovni-prostor_6165541/,BEGUNJE NA GORENJSKEM,BEGUNJE NA GORENJSKEM,BEGUNJE NA GORENJSKEM,Poslovni prostor,,1850,62.84,500.0,Makler Bled d.o.o.,1,1
/oglasi-oddaja/beltinci-stanovanje_6140768/,BELTINCI,BELTINCI,BELTINCI,Stanovanje,1,2009,91.2,420.0,Zasebna ponudba,1,1
/oglasi-oddaja/beltinci-poslovni-prostor_6138270/,BELTINCI,BELTINCI,BELTINCI,Poslovni prostor,P,1925,95.0,400.0,Zasebna ponudba,1,1
/oglasi-oddaja/bericevo-hisa_6184187/,BERIČEVO,BERIČEVO,BERIČEVO,Hiša,K+P,1900,90.0,800.0,Zasebna ponudba,1,1
/oglasi-oddaja/bericevo-hisa_6186277/,BERIČEVO,BERIČEVO,BERIČEVO,Hiša,,,90.0,800.0,LJUBLJANA NEPREMIČNINE d.o.o.,,
/oglasi-oddaja/bericevo-poslovni-prostor_6191355/,BERIČEVO,BERIČEVO,BERIČEVO,Poslovni prostor,,1984,210.0,945.0,Zasebna ponudba,1,1
/oglasi-oddaja/bertoki-hisa_6115160/,BERTOKI,BERTOKI,BERTOKI,Hiša,,2009,160.0,2500.0,"Agencia d.o.o., PE Obala",1,1
/oglasi-oddaja/bertoki-4-km-iz-kopra-stanovanje_6197748/,"BERTOKI, 4 KM IZ KOPRA",BERTOKI,"BERTOKI, 4 KM IZ KOPRA",Stanovanje,P,1984,90.0,,Nika nepremičnine d.o.o.,1,1
/ogIasi-prodaja/celje-teharje-posest_5796514/,"CELJE, TEHARJE",CELJE,"CELJE, TEHARJE",Posest,,,1010.0,,Borza nepremičnin d.o.o.,,
/oglasi-oddaja/bertoki-oic-sermin-poslovni-prostor_6162947/,"BERTOKI, OIC SERMIN",BERTOKI,"BERTOKI, OIC SERMIN",Poslovni prostor,1,2014,74.0,750.0,"Returnet, nepremičnine in poslovno svetovanje, Jana Klenar Aydin, s.p.",1,1
/oglasi-oddaja/bertoki-oic-sermin-poslovni-prostor_6034591/,"BERTOKI, OIC SERMIN",BERTOKI,"BERTOKI, OIC SERMIN",Poslovni prostor,1,2014,144.0,1296.0,"Returnet, nepremičnine in poslovno svetovanje, Jana Klenar Aydin, s.p.",1,1
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_6197272/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,P,1996,28.4,550.0,Roni nepremičnine d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_6190536/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,,,39.7,2400.0,LJUBLJANA NEPREMIČNINE d.o.o.,,
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_6190804/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,,2018,39.8,1500.0,LJUBLJANA NEPREMIČNINE d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_6196518/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,P,2006,57.0,950.0,Trg nepremičnin d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_5774060/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,,2000,65.04,500.0,METROPOLA IN d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-stanovanje_6184800/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Stanovanje,3,1996,125.0,1900.0,Rocco nepremičnine d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-poslovni-prostor_6088137/,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,BEŽIGRAJSKI DVOR,Poslovni prostor,,1982,996.0,5976.0,"DUTB, d.d.",1,1
/oglasi-oddaja/bezigrajski-dvor-bezigrad-stanovanje_6180031/,"BEŽIGRAJSKI DVOR, BEŽIGRAD",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, BEŽIGRAD",Stanovanje,4,1996,193.8,2000.0,"Aeon nepremičnine, d.o.o., Century 21 Primorska",1,1
/oglasi-oddaja/bezigrajski-dvor-bezigrad-pri-hidrometeoroloskem-stanovanje_6196444/,"BEŽIGRAJSKI DVOR, BEŽIGRAD PRI HIDROMETEOROLOŠKEM",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, BEŽIGRAD PRI HIDROMETEOROLOŠKEM",Stanovanje,VP,1993,23.0,380.0,Zasebna ponudba,1,1
/oglasi-oddaja/bezigrajski-dvor-dimiceva-16-poslovni-prostor_5788229/,"BEŽIGRAJSKI DVOR, DIMIČEVA 16",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, DIMIČEVA 16",Poslovni prostor,P,1980,45.0,,Zasebna ponudba,1,1
/oglasi-oddaja/bezigrajski-dvor-dunajska-c56-58-garaza_6193043/,"BEŽIGRAJSKI DVOR, DUNAJSKA C56 58",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, DUNAJSKA C56 58",Garaža,2K,1997,13.0,80.0,Zasebna ponudba,1,1
/oglasi-oddaja/bezigrajski-dvor-dunajska-cesta-ruski-car-poslovni-prostor_6097814/,"BEŽIGRAJSKI DVOR, DUNAJSKA CESTA - RUSKI CAR",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, DUNAJSKA CESTA - RUSKI CAR",Poslovni prostor,P,1800,110.0,110000.0,"Bamba nepremičnine, Tanko Franc s.p.",1,1
/oglasi-oddaja/bezigrajski-dvor-einspilerjeva-poslovni-prostor_6128387/,"BEŽIGRAJSKI DVOR, EINSPILERJEVA",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, EINSPILERJEVA",Poslovni prostor,1,1970,30.0,330.0,Eurogeld d.o.o.,1,1
/oglasi-oddaja/bezigrajski-dvor-periceva-ulica-poslovni-prostor_6087950/,"BEŽIGRAJSKI DVOR, PERIČEVA ULICA",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, PERIČEVA ULICA",Poslovni prostor,P,2006,40.0,480.0,"Abax d.o.o., PE Abax Ljubljana",1,1
/oglas¡-prodaja/lendava-neposredna-blizina-term-stanovanje_5789957/,"LENDAVA, NEPOSREDNA BLIŽINA TERM",LENDAVA,"LENDAVA, NEPOSREDNA BLIŽINA TERM",Stanovanje,3,1950,54.0,,Zasebna ponudba,1,1
/oglasi-oddaja/bezigrajski-dvor-ue-bezigrad-poslovni-prostor_6148781/,"BEŽIGRAJSKI DVOR, UE BEŽIGRAD",BEŽIGRAJSKI DVOR,"BEŽIGRAJSKI DVOR, UE BEŽIGRAD",Poslovni prostor,4,1960,12.0,190.0,Zasebna ponudba,1,1
/oglasi-oddaja/bistrica-ob-dravi-stanovanje_6164996/,BISTRICA OB DRAVI,BISTRICA OB DRAVI,BISTRICA OB DRAVI,Stanovanje,M,1955,26.0,200.0,"Idila nepremičnine, Damijan Kokol s.p.",1,1
/oglasi-oddaja/bistrica-ob-dravi-poslovni-prostor_6146742/,BISTRICA OB DRAVI,BISTRICA OB DRAVI,BISTRICA OB DRAVI,Poslovni prostor,,1997,61.0,300.0,"C-nep agencija, d.o.o.",1,1
/oglasi-oddaja/bistrica-pri-trzicu-stanovanje_6196108/,BISTRICA PRI TRŽIČU,BISTRICA PRI TRŽIČU,BISTRICA PRI TRŽIČU,Stanovanje,VP,1972,42.0,320.0,Fesst nepremičnine d.o.o.,1,1
/oglasi-oddaja/bisce-poslovni-prostor_6192839/,BIŠČE,BIŠČE,BIŠČE,Poslovni prostor,1,2017,25.0,100.0,Zasebna ponudba,1,1
/oglasi-oddaja/bizovik-stanovanje_6197314/,BIZOVIK,BIZOVIK,BIZOVIK,Stanovanje,M,2014,16.0,160.0,Zasebna ponudba,1,1
/oglasi-oddaja/bizovik-stanovanje_6197699/,BIZOVIK,BIZOVIK,BIZOVIK,Stanovanje,2,1977,18.0,300.0,"Stoja trade, d.o.o., Ljubljana",1,1
/oglasi-oddaja/bizovik-poslovni-prostor_6094069/,BIZOVIK,BIZOVIK,BIZOVIK,Poslovni prostor,2,1998,115.0,1035.0,LJUBLJANA NEPREMIČNINE d.o.o.,1,1
/oglasi-oddaja/blatna-brezovica-79-poslovni-prostor_6175251/,"BLATNA BREZOVICA, 79",BLATNA BREZOVICA,"BLATNA BREZOVICA, 79",Poslovni prostor,P,1998,350.0,1400.0,Zasebna ponudba,1,1
/oglasi-oddaja/blatna-brezovica-okolica-hisa_6180221/,"BLATNA BREZOVICA, OKOLICA",BLATNA BREZOVICA,"BLATNA BREZOVICA, OKOLICA",Hiša,P+M,2013,151.8,1500.0,"Stoja trade, d.o.o., Ljubljana",1,1
/oglasi-oddaja/bled-poslovni-prostor_6197841/,BLED,BLED,BLED,Poslovni prostor,P,2018,75.0,975.0,Mijaks investicije d.o.o.,1,1
/oglasi-oddaja/bled-stanovanje_6197116/,BLED,BLED,BLED,Stanovanje,2,1987,79.0,700.0,Adut nepremičnine d.o.o.,1,1
/oglasi-oddaja/bled-bodesce-pocitniski-objekt_5794543/,"BLED, BODEŠČE",BLED,"BLED, BODEŠČE",Počitniški objekt,1,2008,80.0,,Zasebna ponudba,1,1
/oglasi-oddaja/bled-dobe-stanovanje_6194935/,"BLED, DOBE",BLED,"BLED, DOBE",Stanovanje,M,1985,60.0,1000.0,Zasebna ponudba,1,1
/oglasi-oddaja/bled-gadafi-center-poslovni-prostor_6115557/,"BLED, GADAFI CENTER",BLED,"BLED, GADAFI CENTER",Poslovni prostor,P,1989,120.0,1100.0,METROPOLA IN d.o.o.,1,1
/oglasi-oddaja/bled-gregorciceva-29-stanovanje_6194649/,"BLED, GREGORČIČEVA 29",BLED,"BLED, GREGORČIČEVA 29",Stanovanje,1,2018,33.75,475.0,GG Bled d.o.o.,1,1
/oglasi-oddaja/bled-zasip-stanovanje_6191194/,"BLED, ZASIP",BLED,"BLED, ZASIP",Stanovanje,1,1992,100.0,800.0,Zasebna ponudba,1,1
/oglasi-oddaja/bobovek-kokrica-poslovni-prostor_6095970/,"BOBOVEK, KOKRICA",BOBOVEK,"BOBOVEK, KOKRICA",Poslovni prostor,1,1974,36.0,180.0,Fesst nepremičnine d.o.o.,1,1
/oglasi-oddaja/bohinjska-bistrica-garaza_6195966/,BOHINJSKA BISTRICA,BOHINJSKA BISTRICA,BOHINJSKA BISTRICA,Garaža,,2007,12.0,55.0,Zasebna ponudba,1,1
/oglasi-oddaja/borova-vas-majcigerjeva-ul-pri-qlandiji-stanovanje_6197720/,"BOROVA VAS, MAJCIGERJEVA UL., PRI QLANDIJI",BOROVA VAS,"BOROVA VAS, MAJCIGERJEVA UL., PRI QLANDIJI",Stanovanje,3,1988,48.0,230.0,Zasebna ponudba,1,1
/oglasi-oddaja/bosamarin-stanovanje_6197540/,BOŠAMARIN,BOŠAMARIN,BOŠAMARIN,Stanovanje,P,2017,40.0,430.0,Zasebna ponudba,1,1
/oglasi-oddaja/bosamarin-stanovanje_6196935/,BOŠAMARIN,BOŠAMARIN,BOŠAMARIN,Stanovanje,1,2017,80.0,800.0,Agencia d.o.o.,1,1
/oglasi-oddaja/brdo-stanovanje_6194796/,BRDO,BRDO,BRDO,Stanovanje,3,2016,20.0,200.0,Zasebna ponudba,1,1
/oglasi-oddaja/brdo-stanovanje_6192038/,BRDO,BRDO,BRDO,Stanovanje,,1983,30.0,390.0,"Nepremičninska agencija ""TLORIS"" Miro Torić s.p., Poslovna enota",1,1
/oglasi-oddaja/brdo-poslovni-prostor_6196187/,BRDO,BRDO,BRDO,Poslovni prostor,P,1998,44.0,550.0,LJUBLJANA NEPREMIČNINE d.o.o.,1,1
/oglasi-oddaja/brdo-poslovni-prostor_6181499/,BRDO,BRDO,BRDO,Poslovni prostor,2,2015,90.9,1090.8000000000002,LJUBLJANA NEPREMIČNINE d.o.o.,1,1
/oglasi-oddaja/brdo-stanovanje_6179051/,BRDO,BRDO,BRDO,Stanovanje,3,2011,146.1,1900.0,Rocco nepremičnine d.o.o.,1,1
/oglasi-oddaja/brdo-lj-vic-grbina-poslovni-prostor_6191300/,"BRDO, LJ. VIČ, GRBINA",BRDO,"BRDO, LJ. VIČ, GRBINA",Poslovni prostor,P,1998,46.54,460.0,Zasebna ponudba,1,1
/oglasi-oddaja/brdo-soseska-zeleni-gaj-garaza_6110221/,"BRDO, SOSESKA ZELENI GAJ",BRDO,"BRDO, SOSESKA ZELENI GAJ",Garaža,K,2015,13.0,40.0,Zasebna ponudba,1,1
